id|title|starring|writer|editor|
24865|La nuit de la vu00E9ritu00E9|Adama Ou?draogo Moussa Ciss?|Marc Gautron||
24866|Mascot Pictures Serial (film)||||
24867|Turtles Can Fly|Soran Ebrahim, Avaz Latif|Bahman Ghobadi||
24868||Nino Manfredi Tot? Senta Berger Claudine Auger|Adriano Baracco Ennio De Concini||
24869|Bosta|Mounir Malaeb Omar Rajeh Nadine Labaki Rodney el Haddad Mahmoud Mabsout Rana Alamudin Karam Liliane Nemri Sabah (singer) Bshara Atallah Nada Abou Farhat|Philippe Aractingi||
24870|The Birds and the Bees|James David Graham Niven George Gobel Mitzi Gaynor|Monckton Hoffe Sidney Sheldon||
24871|Voorbij, voorbij||Gerard Soeteman||
24872|Save The Tiger|Jack Gilford John Uhler Lemmon III|Steve Shagan||
24873|Halloween 5: The Revenge of Michael Myers|Danielle Andrea Harris Beau Starr Donald Henry Pleasence Ellie Cornell Wendy Kaplan|Shem Bitterman Michael Jacobs||
24874|The Perfect Clown|Oliver Hardy|Thomas J. Crizer Charlie Saxton||
24875|The Rocketeer|Terrance Quinn Alan Wolf Arkin Timothy Peter Dalton Jon Polito Ed Lauter Jennifer Lynn Connelly William O. Campbell|Dave Stevens Danny Bilson Paul De Meo||
24876||Lane Smith Tiffany Amber Thiessen Carla Gugino Cindy Pickett Paul Montgomery Shore|Shawn Schepps Patrick Clifton Fax Bahr Peter M. Lenkov Susan McMartin Adam Small||
24877||Neve Adrianne Campbell Ronald Joseph Livingston Daniel Michael DeVito Jr.|Peter Stass||
24878||Daniel McDonald Elana K Plye Kimberly S. Myers Vincent Anthony Vaughn|Elana K. Pyle David E. Pyle||
24879||Charles Napier Mimsy Farmer David Hess Bruce Penhall|Dardano Sacchetti Sheila Goldberg Alessandro Capone Luca D'Alisera||
24880||Elmore Rual Torn Blair Brown|Paul Simon||
24881|Captain Horatio Hornblower|Virginia Clara Jones Robert Beatty Terence Morgan Eldred Gregory Peck|Aeneas MacKenzie Ben Roberts C.S. Forester Ivan Goff||
24882||Pran Jeetendra Dharmendra|||
24883|Love 'em and Weep|Arthur Stanley Jefferson Jimmy Finlayson|Harry Eugene Roach H.M. Walker||
24884|Thunderheart|Val Edward Kilmer Sheila Tousey Dennis Banks Fred Ward Sam Shepard John Trudell Graham Greene (actor) Fred Dalton Thompson|John Fusco||
24885|Quid Pro Quo|Nicolas Kent Stahl Vera Ann Farmiga|Carlos Brooks||
24886||Raphael Klatchkin Jermain Unikovsky Elisheva  Michaeli Mike Burstyn Shmuel Rodensky Aharon Meskin Rina Ganor|Avraham Goldfaden Operetta Israel Becker||
24887||Daniel Ronald Cox Elizabeth Victoria Montgomery|Robert E. Thompson Louis Rudolph||
24888|Smart Work|Addie McPhail|Jack Townley Ernest Pagano||
24889||311 (band)|||
24890|Left Luggage|Isabella Fiorella Elettra Giovanna Rossellini Laura Fraser|Edwin de Vries Carl Friedman (book)||
24891|Intensity|John C. McGinley Tori Paul Molly Parker|Dean Koontz Stephen Tolkin Intensity (novel)||
24892||David Gahan Vince Clarke Alan Wilder Andrew Fletcher (musician) Martin L. Gore|Depeche Mode||
24893|Twister|Mark Anthony McDermott Crispin Hellion Glover William S. Burroughs Suzy Amis Harry Dean Stanton Jenny Wright|Michael Almereyda Mary Robison||
24894||Joan Greenwood Viveca Lindfors James Lablache Stewart George Sanders (actor)|J. Meade Falkner||
24895|3 Hari Untuk Selamanya||Sinar Ayu Massie||
24896||Vivian Mary Hartley Laurence Kerr Olivier|Walter Reisch R.C. Sherriff||
24897|A Life Less Ordinary|Ewan McGregor Dan Hedaya Anthony Marcus Shalhoub Delroy Lindo Stanley Tucci, Jr. Ian Holm Cuthbert Cameron Michelle Diaz Holly P. Hunter Maury Chaykin Ian McNeice|John Hodge||
24898|Reservation Road|Mark Alan Ruffalo Joaquu00EDn Rafael Bottom Jennifer Lynn Connelly Mira Katherine Sorvino|Terry George John Burnham Schwartz||
24899||Edward Arnold (actor)|Nancy Cassaro Peter Dexter Bill Condon||
24900|In the Good Old Summertime|Joseph Frank Keaton VI Charles Van Johnson Liza Minnelli Frances Ethel Gumm S.Z. Sakall Spring Byington|Joseph Frank Keaton VI Miklos Laszlo Samson Raphaelson Ivan Tors Frances Goodrich Albert Hackett||
24901||Hema Malini Kulbushan Pandit|||
24902|||Abbas Kiarostami||
24903|If It's Tuesday, This Must Be Belgium||||
24904|Harry Potter and the Half-Blood Prince|Daniel Jacob Radcliffe Rupert Alexander Lloyd Grint Thomas Andrew Felton Alan Sidney Patrick Rickman Michael John Gambon Emma Charlotte Duerre Watson Jim Broadbent|J. K. Rowling Steve Kloves||
24905||Margaret Mary Lockwood Day Felix Aylmer Eric Alexander Rennie Griffith Jones James Neville Mason Patricia Roc|Leslie Arliss||
24906|Crime and Punishment in Suburbia|Monica Keena Frederick Reginald Ironside Vincent Paul Kartheiser Ellen Rona Barkin|Larry Gross||
24907|Berserk!|Thomas Cimarro Ty Hardin Michael Gough Lucille Fay LeSueur Judy Geeson Diana Mary Fluck|Aben Kandel Herman Cohen||
24908|Mother's Child|Oliver Hardy|||
24909|Flesh and Fantasy|Betty Field Charles Boyer Emanuel Goldenberg Ruby Catherine Stevens|Ernest Pascal Samuel Hoffenstein L?szl? Vadnay Ellis St. Joseph Oscar Wilde||
24910|He Laughs Last|Oliver Hardy|Jess Robbins||
24911|Rationing|Wallace Fitzgerald Beery Mary Tomlinson|Harry Ruskin Grant Garett William Lipman||
24912|Funny Games|Devon Gearhart Naomi Ellen Watts Timothy Simon Smith Michael Pitt Alexander Brady Corbet|Michael Haneke||
24913|The Mummy|John David Hannah Brendan Fraser Rachel Weisz Arnold Vosloo|Kevin Jarre||
24914|Serial Lover|Mich?le Laroque Albert Dupontel|James Huth Romain Berthomieu||
24915|Main Prem Ki Diwani Hoon|Hrithik Roshan Abhishek Bachchan Kareena Kapoor|Sooraj R. Barjatya||
24916||Krassimir Dokov Svetla Yancheva|Iglika Triffonova||
24917|The Crossing Guard|John Joseph Nicholson Robin Gayle Wright David Morse Anjelica Huston|Sean Penn||
24918||Margy Reed Shirley Ross Leslie Townes Hope Mary Leta Dorothy Slaton Kirsten Flagstad Leif Erickson W.C. Fields Lynne Overman Ben Blue|Frederick Hazlitt Brennan Ken Englund Howard Lindsay Walter DeLeon Russel Crouse Francis Martin||
24919|No Wedding Bells|Oliver Hardy|Larry Semon||
24920|The Affairs of Martha|Marcia Virginia Hunt Richard Carlson (actor) Mary Tomlinson|Lee Gold Isobel Lennart||
24921||Delia Garc?s Pablo Palitos Enrique Mui?o|Carlos F. Borcosque||
24922|Hercules|William Berger Brad Harris Sybille Johanna Danninger Ingrid Anderson Louis Jude Ferrigno|Luigi Cozzi||
24923|The Poseidon Adventure|Stella Stevens Shirley Schrift Ermes Effron Borgnino Aaron Chwatt Jonathan George Albertson Arthur O'Connell Pamela Sue Martin Roddy McDowell Frederick Edward Sadoff Eugene Alden Hackman Leslie William Nielsen Carol Lynley|Stirling Silliphant Paul Gallico Wendell Mayes||
24924|Shankardada Zindabad||||
24925|Knick Knack||John Lasseter||
24926|Women in Love|Oliver Reed Alan Arthur Bates Jennie Linden Glenda May Jackson|Larry Kramer D.H. Lawrence||
24927|Nothing but Trouble|Cornelius Crane Chase John Franklin Candy Demetria Gene Guynes|Peter Aykroyd||
24928||David Llewellyn|Phil Austin and Derek Hayes||
24929|A Chump at Oxford|Wilfred Lucas Forrester Harvey Arthur Stanley Jefferson Jimmy Finlayson Oliver Hardy Charlie Hall Anita Garvin Peter Wilton Cushing|Charley Rogers Felix Adler Harry Langdon||
24930|The Three Faces of Eve|Wayne James McMeekan Joanne Gignilliat Trimmier Woodward Leo Jacoby|Corbett Thigpen Nunnally Hunter Johnson Hervey M. Cleckley||
24931||JP Meyer Eug?ne Terre'Blanche Nick Broomfield Anita Meyer|||
24932|Vikramarkudu|Anushka Shetty Ravi Teja Brahmanandam Ajay|S.S. Rajamouli||
24933|Cornbread, Earl and Me|Laurence John Fishburne III Tierre Turner Jamaal Wilkes|Leonard Lamensdorf Ronald Fair||
24934||Lisa Vidal Jesse Borrego Rosita Dolores Alveru00EDo Jon Seda Lauren Velez Griffin Dunne|Darnell Martin||
24935|Operation Pacific|Marion Robert Morrison Philip Carey Conrad Scott Forbes Patsy Louise Neal Ward Bond|George Waggner||
24936||Coleen Gray Francis Xavier Bushman Merissa Mathes Richard Kiel|||
24937|All Over the Guy|Suzana S. Drobnjakoviu0107 Adam Goldberg Christina Ricci Andrea Louise Martin Lisa V. Kudrow Doris Roberts Dan Bucatinsky Joanna Kerns Richard Robert Ruccolo|Dan Bucatinsky||
24938|Poor Baby|Eldon Raymond McKee|Elizabeth Miller||
24939||Danny Aiello Molly Kathleen Ringwald Robert Downey Jr. Dennis Lee Hopper Mildred Dunnock Harvey Keitel|James Toback||
24940|I Married A Monster from Outer Space|Tom Tryon Gloria Talbott|Louis Vittes||
24941|Swordfish|Donald Frank Cheadle John Joseph Travolta Hugh Michael Jackman Halle Maria Berry|Skip Woods||
24942|Fortress of Amerikkka|Robert Axelrod|Eric Louzil||
24943||Kamal Haasan|||
24944||Nithin Sathya Premji Amaran|N. Sundaresan||
24945|Once Upon a Time in the Midlands|Ricky Tomlinson Robert Carlyle Kathy Burke Rhys Ifans|Paul Fraser,  Shane Meadows||
24946||Barrie Jones Joel Solomon Cohen James Hayter (actor) Brenda De Banzie Taina Elg Kenneth More Reginald Beckwith|John Buchan, 1st Baron Tweedsmuir Frank Harvey||
24947|Snow Blind|Hannah Teter|||
24948|The Chocolate War|Ilan Mitchell-Smith Doug Hutchison John Soursby Glover, Jr.|Robert Cormier Keith Gordon||
24949||Kamal Haasan|||
24950||Tania Padilla Bunny Lampert|Eric Leiser||
24951|Johnny Appleseed|Owen Patrick Eugene McNulty|Winston Hibler Joe Rinaldi Erdman Penner Jesse Marsh||
24952|Seddok, l'erede di Satana|Sergio Fantoni Alberto Lupo Susanne Loret|Gino De Santis Anton Giulio Majano Alberto Bevilacqua Piero Monviso||
24953|One Million Years B.C.|John Richardson (actor) Martine Beswick Percy Herbert (actor) Robert Brown (actor) Jo Raquel Tejada|||
24954|Harry in Your Pocket|Walter Davis Pidgeon James Harrison Coburn Jr. Trish Van Devere Jacques Michel Andre Sarrazin|Ronald Austin James Buchanan||
24955||Alonzo Bodden Jay Davis|Dane Cook||
24956|The Saint's Double Trouble|George Sanders (actor) Bela Lugosi|Ben Holmes Leslie Charteris||
24957|The Brave Ones|Oliver Hardy|||
24958||Michel Piccoli ?Dave|Honor? de Balzac Lavinia Currier||
24959|Fogo de Palha||Plu00EDnio de Castro Ferraz, Canuto Mendes de Almeida||
24960||Mustafa Qureshi Aseia Sultan Rahi|Nasir Adib||
24961||Patricia Ree Gilbert Don Fellows Bob Rosen|William Greaves||
24962|You Lucky Dog|Nancy Mueller John de Lancie Kirk Thomas Cameron|David Covell||
24963|Rishtey|Karishma Kapoor Anil Kapoor|||
24964|Impromptu|Julian Sands Georges Corraface Anna Raymond Massey Ralph Brown Hugh John Mungo Grant Mandel Bruce Patinkin Bernadette Lazzara Judy Davis Emma Thompson Anton Rodgers|Sarah Kernochan||
24965|Sudden Impact|Paul Drake Sondra Locke|Charles B. Pierce Earl E. Smith Joseph Stinson||
24966|The White Cliffs of Dover|Irene Marie Dunn Alan Marshal (actor)|George Froeschel Claudine West Jan Lustig||
24967|Calendar Girls|Celia Diana Savile Imrie John Alderton Ciaran Hinds Ilyena Vasilievna Mironov Julia Mary Walters|Tim Firth||
24968|O Lucky Man!|Ralph David Richardson Graham Crowden Rachel Roberts Ilyena Vasilievna Mironov Arthur Lowe Malcolm John Taylor|David Sherwin and Malcolm McDowell (Story)||
24969|FairyTale: A True Story|Peter Seamus Ou2019Toole Paul McGann Florence Hoath Elizabeth Earl Harvey Keitel Sarah Phoebe Nicholls|Albert Ash Tom McLoughlin Ernie Contreras||
24970|Bright and Early|Oliver Hardy Billy West (silent film actor)|||
24971|Fahrenhype 9/11||Eileen McGann Lee Troxler Dick Morris||
24972|Kuruthipunal|Geetha Gouthami Pasupathy Nassar(actor) Arjun (actor) Kamal Haasan|Govind Nihalani (story)||
24973|The Squaw Man|Dustin Farnum|Edwin Milton Royle   Cecil B. DeMille   Oscar Apfel||
24974|Premeditated Murder|Neboj?a Glogovac Ana Sofrenovi? Sergej Trifunovi? Branka Kati? Dragan Mi?anovi?|Slobodan Seleni?||
24975||Lloyd Vernet Bridges III Swoosie Kurtz Holly P. Hunter|Jane Anderson||
24976||Muhammad Kutty|Lohithadas||
24977|Night of Dark Shadows|Shirley Grossman Lara Parker Catherine Elise Jackson David Selby|Sam Hall Dan Curtis||
24978|||Keisuke Toyoshima Takuji Suzuki Keita Amemiya Naoki Yamamoto Takashi Shimizu||
24979||Elizabeth Harding Stack Pierce Bernie Hamilton Milton Stewart Fred Williamson William Smith (actor) Vonetta McGee|Charles Johnson||
24980|Game|Gerard James Butler|||
24981|Winnie the Pooh and a Day For Eeyore|Paul Winchell Hal Smith (actor) Will Ryan John Donald Fiedler Julie McWhirter Laurie Main Ralph Wright|A. A. Milne||
24982|Saratoga Trunk|Ingrid Bergman Flora McKenzie Robson Frank James Cooper|Edna Ferber Casey Robinson||
24983||Arun Govil Amrish Lal Puri|||
24984||Sampson DeBrier Ana?s Nin Joan Whitney (actress) Marjorie Cameron|||
24985|When Maryam Spoke Out|Talal El-Jordi Bernadette Hodeib|Assad Fouladkar||
24986|Don't Give Up on Us|Piolo Josu00E9 Nonato Pascual Judy Anne Lumagui Santos|||
24987||Lola Lane (actress) Mayo Methot Humphrey DeForest Bogart Ruth Elizabeth Davis Isabel Jewell Jane Bryan|Robert Rossen||
24988||Michel Demitri Chalhoub|Jules Verne Juan Antonio Bardem Henri Colpi||
24989|Min and Bill|Wallace Fitzgerald Beery Leila Marie Koerber|Frances Marion||
24990|Late Spring|Haruko Sugimura Chishu Ryu Setsuko Hara|K?go Noda Yasujiro Ozu Kazuo Hirotsu||
24991||Loren Dean Dustin Lee Hoffman Solomon Krakovsky Walter Bruce Willis Steven Vincent Buscemi Nicole Mary Kidman|Tom Stoppard E.L. Doctorow||
24992|The Ranchero's Revenge|Lionel Herbert Blythe|||
24993||Sean Campion Fiona O'Shaughnessy Fiona Glascott|Elizabeth Gill||
24994|Written on the Wind|Roy Harold Scherer, Jr. Betty Joan Perske Robert Langford Modini Stack Robert Keith Dorothy Malone|Robert Wilder George Zuckerman||
24995|Dracula 3000|Alexandra Kamp Casper Robert Van Dien, Jr. Coolio Erika Eleniak Langley Kirkwood Grant Swanby Udo Kierspe Tom Lister Jr.|Darrell Roodt Ivan Milborrow||
24996||Sh?z? Iizuka T?ru Furuya Mayumi Abe Nachi Nozawa J?ji Yanami Hiromi Tsuru K?hei Myauchi Mami Koyama Yoshio Nagahori Naoki Tatsuta Naoko Watanabe Masako Nozawa|Keiji Terui Akira Toriyama||
24997|A Doll's House|Lady Jayne Seymour Fonda Edward Fox Trevor Howard|David Mercer Henrik Ibsen||
24998|The Battleship Potemkin||Sergei M. Eisenstein Nina Agadzhanova Nikolai Aseyev Sergei Tretyakov||
24999||Saleem Sheikh Saira Khan Sajjad Ali Nirma|Shafiq Ali||
25000|A Lucky Strike|Mae Hotely|Arthur Hotaling||
25001||Adriana Fonseca Luis Felipe Tovar Ninel Conde Mauricio Ochmann|Rene Bueno||
25002|Columbia Pictures Serial (film)||||
25003||Andrey Myagkov Oleg Valerianovich Basilashvili Alisa Brunovna Freindlich|Emil Braginski Eldar Ryazanov||
25004||Aftab Shivdasani Ritesh Desmukh Antara Mali|Antara Mali||
25005|Plan 9 from Outer Space|Gregory Walcott Joanna Lee Dudley Manlove Myron Healy Maila Elizabeth Syrju00E4niemi Conrad Brooks John Cabell Breckinridge Duke Moore George Duryea Bu00E9la Ferenc Dezsu0151 Blasku00F3 Paul Marco Lisle Henderson Tor Johnson|Edward Davis Wood||
25006|Without a Clue|Lysette Chodzko Krishna Bhanji Michael Caine Paul Freeman Matthew Sim Jeffrey Duncan Jones|Garry Murphy Larry Strawther||
25007||Denis Mercier Marianne Coquelicot Mercier|Monique Proulx||
25008|Winnie the Pooh & Christmas Too|James Jonah Cummings Paul Winchell John Donald Fiedler Michael Gough Peter Cullen Ken Samson|Karl Geurs Mark Zaslove||
25009||Carsten Frank Nikolaus Karl Gu00FCnther Nakszyu0144ski Andreas Baron Freytag von Loringhoven|||
25010||Fredro Scruggs Robin Simone Givens Miss Nana|Furqaan Clover   Kimba Henriques||
25011|Five Corners|Jodie Foster, Tim Robbins, John Turturro|John Patrick Shanley||
25012||Herbert Charles Angelo Kuchacevich ze Schluderpacheru Diana Mary Fluck Eddie Constantine|Patrick Alexander||
25013||Anna Louise Friel Karel Roden Hans Matheson Vincent Regan Francesco Sparanero Deana Horv?thov?|John Paul Chapple||
25014||Charles Bukowski|Barbet Schroeder||
25015||Skip Lipman, Daniel McCarthur, Rebecca Thurmond, Kenyon Wells|||
25016|The Killing of John Lennon|Thomas A. McMahon Mie Omori Robert C. Kirk Krisha Fairchild Jonas Ball|Andrew Piddington||
25017|Sotto il sole di Roma||Fausto Tozzi Renato Castellani Emilio Cecchi Sergio Amidei Ettore Maria Margadonna||
25018|The Narrows|Sophia Anna Bush Vincent Phillip D'Onofrio Monica Keena Roger Rees Edmund P. Cahill Kevin Joseph Zegers|Tatiana Blackington Tim McLoughlin||
25019|The Spiral Staircase|George Brendan Nolan Dorothy Hackett McGuire Ethel Mae Blythe|||
25020|Academy Award for Documentary Feature|Morgan Freeman|||
25021||Robert Acosta Kelly Dougherty Patricia Foulkrod Nickie Huze Sean Huze|Patricia Foulkrod||
25022||Ralph David Richardson Jack Hulbert Vina Fay Wray|||
25023||Rajnikanth|||
25024||Vincent Leonard Price, Jr. Cedric Webster Hardwicke Nan Grey|Kurt Siodmak H.G. Wells||
25025||Lucille Fay LeSueur Volodymyr Palahnyuk|||
25026|Nancy Drew|Maximillion Drake Thieriot Josh Flitter Emma Rose Roberts|Teal Valentino Tiffany Paulsen||
25027|Castle of Fu Manchu, The|Maria Perschy Howard Marion-Crawford Christopher Frank Carandini Lee Jos? Manuel Mart?n G?nther Stoll Rosalba Neri Richard Greene|Michael Haller Manfred Barthel Jaime Jes?s Balc?zar Harry Alan Towers Sax Rohmer||
25028|Geschlecht in Fesseln|William Dieterle Hans Heinrich von Twardowski Paul Henckels Mary Johnson Gunnar Toln?s|Herbert Juttke Georg C. Klaren||
25029|I Accuse My Parents|Mary Beth Hughes George Meeker John Miljan|Harry L. Fraser Arthur Caesar||
25030|||Daniela Fejerman In?s Par?s||
25031|The Leopard Palme d'Or|Serge Reggiani Alain Delon Mario Girotti Burton Stephen Lancaster Claudia Cardinale Pierre Clementi|Pasquale Festa Campanile Enrico Medioli Massimo Franciosa Suso Cecchi d'Amico||
25032||Faten Ahmed Hamama Shukry Sarhan|Ezzel Dine Zulficar||
25033|King Kong|Thomas Kretschmann Adrien Brody Evan Parke Naomi Ellen Watts Kyle Martin Chandler Thomas Jack Black, Jr. Andy Serkis Jamie Bell|Merian C. Cooper Edgar Wallace Philippa Boyens Fran Walsh||
25034|Berlin International Film Festival Die Sehnsucht der Veronika Voss|Rosel Zech Cornelia Froeboess Hilmar Thate|Peter M?rthesheimer Rainer Werner Fassbinder Pea Fr?hlich||
25035||Sally Thomsett Gary Warren Ann Lancaster William Mervyn Dinah Mec Bernard Cribbins Jennifer Ann Agutter|Lionel Jeffries||
25036|The Forbidden City|Thomas Meighan Norma Talmadge|Mary Murillo||
25037||Charlie Chaplin|||
25038|Serial (film) Universal Pictures||||
25039|Luxo Jr.||John Lasseter||
25040|Trekkies||||
25041|Red Firecracker, Green Firecracker|Zhao Xiaorui Wu Gang Ning Jing|Feng Jicai Ye Daying||
25042||Ulrich Thomsen Lisa Werlinder|Per Fly Kim Leona||
25043|The Private Life of Henry VIII|Franklin Dyall Estelle Merle O'Brien Thompson Lionel Henry Mander Charles Laughton Elsa Lanchester Friedrich Robert Donath|Arthur Wimperis Lajos Bir?||
25044||David Ball Bill Stiles Vin Knight|David Ball||
25045|I'll Cry Tomorrow|Edythe Marrenner Jo Van Fleet Margo Edward Albert Heimberger Richard Conte|Helen Deutsch   Jay Richard Kennedy  Lillian Roth (book)  Mike Connolly (book) Gerold Frank (book)||
25046||Harve Presnell Jeffrey Warren Daniels|Jeffrey Warren Daniels Guy Sanville||
25047||Erika Remberg Yvonne Monlaur Donald Henry Pleasence Anton Diffring Jane Hylton|George Baxt||
25048|The Wendell Baker Story|Luke Cunningham Wilson Eddie Griffin Seymour Cassel Owen Cunningham Wilson Eva Mendes Harry Dean Stanton Kristoffer Kristofferson|Luke Cunningham Wilson||
25049||"Weird Al" Yankovic|||
25050|Pushing Hands|Deb Snyder Sihung Lung Bo Z. Wang|James Schamus||
25051||Roger Ellis Conrad Brooks Scott Shaw|||
25052||Gu00E9rard Xavier Marcel Depardieu Malik Zidi Catherine Fabienne Dorlu00E9ac Gilbert Melki Lubna Azabal|Pascal Bonitzer Laurent Guyot Andru00E9 Tu00E9chinu00E9||
25053||Alan Marshal (actor) Charles Boyer Greta Lovisa Gustafsson Reginald Owen|S. N. Behrman Waclaw Gasiorowski Salka Viertel||
25054||Crass|||
25055|Fu00E4ngelse|Birger Malmsten Eva Henning Doris Svedlund|Ingmar Bergman||
25056|The Twelfth Juror|Ben F. Wilson|Ben F. Wilson||
25057|Schultze Gets the Blues|Horst Krause Karl Fred M?ller|Michael Schorr||
25058|The Miracle Baby|Henry DeWitt Carey II|Jacques Jaccard Isadore Bernstein||
25059|The Flintstones Meet Rockula and Frankenstone|Mel Blanc John Stephenson (actor) Henry Corden Jean Vander Pyl Gay Hartwig (Autterson)|||
25060|Jacob's Ladder|Timothy Francis Robbins Danny Aiello Jason Scott Greenspan Elizabeth Pena Irving Rameses Rhames|Bruce Joel Rubin||
25061|Paper Moon|Patrick Ryan O'Neal Randall Rudy Quaid Madeline Kahn Tatum Beatrice O'Neal|Alvin Sargent Joe David Brown||
25062|Shocking Asia II: The Last Taboos||Rolf Olsen||
25063||Isabelle Huppert Daniel Auteuil|Christian Vincent Dan Franck||
25064||Walter Davis Pidgeon Claudia Dell Ernest Thayson Torrence-Thompson|David Belasco Herman Harrison Egerton Castle||
25065|A Jitney Elopement|Edna Purviance Charles Chaplin Lloyd Bacon Ernest Van Pelt Leo White|Charlie Chaplin||
25066|Chaudhvin Ka Chand|Vasanth Kumar Shivsankar Padukone Badruddin Jamaluddin Kazi Rehman Waheeda Rehman|Saghir Usmani||
25067||Drew Blyth Barrymore|||
25068||Vyjayanthimala Ashok Kumar Dharam Pishorimal Anand|K.A. Narayan Vijay Anand||
25069||Soundarya|Norbet D'Souza||
25070|The Wasp Woman|Harriet Shapiro Anthony Eisley|Leo Gordon||
25071|||Tar Yar Min Wai||
25072|The Moviese|Lloyd Hamilton|Roscoe Arbuckle||
25073||Luis Antonio Damaso de Alonso Sammy Ogg Susan Whitney Sherry Jackson|Crane Wilbur||
25074|Teenage Mutant Ninja Turtles II: The Secret of the Ooze|Teenage Mutant Ninja Turtles II: The Secret of the Ooze#Cast|Kevin Eastman Peter Laird||
25075||Ruslaan Mumtaz Hazel|Sameer Kohli Robby Grewal||
25076||Cynthia Rothrock Yeoh Choo-Kheng James Tien (actor) John Shum Mang Hoi|Barry Wong||
25077|Heroes|Salman Khan Vijay Singh Deol Gouranga Chakraborty Sohail Khan Sunny Deol Amrita Arora Preity Zinta|Aseem Arora||
25078|Near Dublin|Arthur Stanley Jefferson|H. M. Walker||
25079|Cops|Joseph Frank Keaton VI Edward F. Cline Joe Roberts Virginia Fox|Joseph Frank Keaton VI Edward F. Cline||
25080|The Moon Is Blue|Marguerite McNamara James David Graham Niven William Holden|F. Hugh Herbert||
25081||Charles William Haines John Charles Smith Louise Byrdie Dantzler|A.P. Younger||
25082|Muthal Mariyathai|Radha (actress) Rangaraj Villupuram Chinnaiahpillai Ganesan|Bharathiraja||
25083||Reza Shafiei Jam Shaghayegh Dehghan Siamak Ansari Hadi Kazemi|||
25084|Star Trek V: The Final Frontier|#Cast|William Shatner David Loughery Harve Bennett||
25085|Indiana Jones and the Last Crusade|Alison Doody Julian Wyatt Glover Harrison Ford Thomas Sean Connery Denholm Mitchell Elliott John Rhys-Davies|Menno Meyjes Jeffrey Boam George Walton Lucas Jr.||
25086||Vera June Ralston James Scott Bumgarner Robert Martin Culp|||
25087||K?ksal Eng?r ?enay G?rler Ali D?senkalkar I?il Y?cesoy|Reha Erdem Nil?fer G?ng?rm??||
25088||Victoria Sanchez Timothy James Curry Grace Jones Lesley Ann Warren|Lori Lansens||
25089||Madhuri Shankar Dixit Jackie Shroff Anupam Kher Rajnikant|||
25090|That's Dancing!|Ray Bolger Sammy Davis Jr. Mikhail Nikolaevitch Baryshnikov Liza Minnelli|Jack Haley Jr.||
25091||Tanuja Jatin Khanna|Javed Akhtar||
25092||Saeed Jaffrey Mohnish Bahl Sharmila Tagore Saif Ali Khan Mamta Kulkarni|||
25093||Natasha Hudson Deanna Yusoff|||
25094|Trojan War|William Alan Friedle Marley Eve Shelton Jennifer Love Hewitt|Scott Myers Andy Burg||
25095||Yusuf Khan Dharmendra|||
25096||Juliette Binoche|Pierre Pradinas, Alain Gautru00E9||
25097|No Way Out|Monetta Eloyse Darnell Harry Bellaver Sidney Poitier Stanley Ridges Amanda Randolph Ruby Ann Wallace Stephen McNally Richard Widmark|Lesser Samuels||
25098||Vijay Singh Deol John Abraham (actor) Priyanka Chopra Abhishek Bachchan|Karan Johar Tarun Mansukhani||
25099|Common Ground|Brittany Anne Bertolotti Jason Bradford Prestley James Le Gros Jonathan Taylor Weiss Steven Weber (actor) Yitzhak Edward Asner|Terrence McNally Harvey Forbes Fierstein Paula Vogel||
25100||Adolphe Jean Menjou Louise Byrdie Dantzler Pat O'Brien (actor)|Bartlett Cormack Charles Lederer||
25101|All That Heaven Allows|Roy Harold Scherer, Jr. Agnes Robertson Moorehead Sarah Jane Mayfield|Peg Fenwick Edna Lee (story) Harry Lee (story)||
25102||Michael O'Laskey II Tyler Woodcock Mark Fabel Kenny J. Tinsley|Jeff Phillips Sean McNamara (director)||
25103||Rajnikanth Kamal Haasan|||
25104||Joseph Provenzano Louis Feinberg Seymour Schindel Samuel Horwitz Harry Moses Horwitz Virginia Hunter Tiny Brauer Vernon Bruce Dent|Felix Adler||
25105||Eri Ishida Nene Otsuka Kyoko Hasegawa Chihiro Otsuka Hiroyuki Ikeuchi Saki Takaoka|various||
25106||Everett Sloane George Hamilton George Peppard, Jr. Eleanor Jean Parker Robert Mitchum|Harriet Frank Jr. Irving Ravetch William Humphrey||
25107|Wanda|Barbara Loden Michael Higgins|Barbara Loden||
25108|The Speed Kings|Roscoe Arbuckle|||
25109|Better Luck Tomorrow|Jason Tobin Sung Kang John Yohan Cho Roger Fan Parry Shen|Justin Lin (director) Ernesto Foronda Fabian Marquez||
25110||Iuliu Maniu Mihai Antonescu Ion Siminie Gheorghe Dinic? Ion Antonescu George Constantin Adrian V?lcu ?tefan Radoff Michael of Romania Andrey Vyshinsky|Ioan Grigorescu||
25111||Tony Barry Vikki Blanche Paul Chubb|Alison Tilson||
25112|Martin Roumagnac|Marie Magdalene Dietrich Daniel G?lin Marcel Herrand Jean Gabin|Pierre V?ry Pierre-Ren? Wolf||
25113|Liberty Belle|Andr? Dussollier Dominique Laffin Juliette Binoche|Pascal Bonitzer Pascal Kan?||
25114|New Police Story|Daniel Wu u9673u6E2Fu751F (Chan Kong Sang) Tse Ting-Fung (u8B1Du9706u92D2)|Alan Yuen||
25115|491|Lars Lind|Lars Gu00F6rling	Vilgot Sju00F6man||
